date,ename,ereps,kg,duration
2024-01-08,HB: IMR 20mm,1,62.0,10.0
2024-01-08,HB: IMR 20mm,1,62.0,10.0
2024-01-08,HB: IMR 20mm,2,62.0,10.0
2024-01-08,HB: IMR 20mm,1,62.0,10.0
2024-01-08,HB: IMR 20mm,1,62.0,10.0
2024-01-08,HB: IMR 20mm,1,62.0,10.0
2024-01-08,HB: IMR 20mm,1,62.0,10.0
2024-01-08,HB: IMR 20mm,1,62.0,10.0
2024-01-03,HB: IMR 20mm,1,86.0,10.0
2024-01-03,HB: IMR 20mm,1,62.0,10.0
2024-01-03,HB: IMR 20mm,1,62.0,10.0
2024-01-03,HB: IMR 20mm,1,62.0,10.0
2024-01-03,HB: IMR 20mm,1,88.0,10.0
2024-01-03,benchpress,4,65.0,25.551
2024-01-03,HB: IMR 20mm,1,87.0,10.0
2024-01-03,benchpress,4,65.0,30.924
2024-01-03,weighted pull up,3,103.0,25.271
2024-01-03,benchpress,3,65.0,95.087
2024-01-03,HB: SC 20mm,1,103.0,10.0
2024-01-03,weighted pull up,3,103.0,19.246
2024-01-03,HB: SC 20mm,1,103.0,10.0
2024-01-03,weighted pull up,3,103.0,30.281
2024-01-03,HB: SC 20mm,1,103.0,10.0
2024-01-01,HB: IMR 20mm,1,62.0,10.0
2024-01-01,HB: IMR 20mm,1,62.0,10.0
2024-01-01,HB: IMR 20mm,1,62.0,10.0
2024-01-01,HB: IMR 20mm,1,62.0,10.0
2024-01-01,HB: IMR 20mm,1,62.0,10.0
2024-01-01,HB: IMR 20mm,1,62.0,10.0
2024-01-01,deadlift,4,135.0,30.104
2024-01-01,HB: IMR 20mm,1,62.0,10.0
2024-01-01,deadlift,4,135.0,26.512
2024-01-01,deadlift,4,135.0,45.454
2024-01-01,deadlift,4,135.0,3.33
2024-01-01,HB: IMR 20mm,1,62.0,10.0
2023-12-31,HB: IMR 20mm,1,62.0,10.0
2023-12-31,HB: IMR 20mm,1,62.0,10.0
2023-12-31,HB: IMR 20mm,1,62.0,10.0
2023-12-31,HB: IMR 20mm,1,62.0,10.0
2023-12-31,HB: IMR 20mm,1,62.0,10.0
2023-12-31,HB: IMR 20mm,1,62.0,10.0
2023-12-31,HB: IMR 20mm,1,62.0,10.0
2023-12-31,HB: IMR 20mm,1,62.0,10.0
2023-12-27,HB: IMR 20mm,1,86.0,10.0
2023-12-27,HB: SC 20mm,1,106.0,10.0
2023-12-27,weighted pull up,5,102.0,32.567
2023-12-27,HB: SC 20mm,1,106.0,10.0
2023-12-27,weighted pull up,4,102.0,63.617
2023-12-27,weighted pull up,6,106.0,132.574
2023-12-27,benchpress,5,65.0,382.608
2023-12-27,HB: IMR 20mm,1,86.0,10.0
2023-12-27,benchpress,5,65.0,51.588
2023-12-27,HB: IMR 20mm,1,86.0,10.0
2023-12-27,benchpress,5,65.0,40.208
2023-12-27,HB: SC 20mm,1,106.0,10.0
2023-12-26,HB: IMR 20mm,1,62.0,10.0
2023-12-26,HB: IMR 20mm,1,62.0,10.0
2023-12-26,HB: IMR 20mm,1,62.0,10.0
2023-12-26,HB: IMR 20mm,1,62.0,10.0
2023-12-26,HB: IMR 20mm,1,62.0,10.0
2023-12-26,HB: IMR 20mm,1,62.0,10.0
2023-12-26,HB: IMR 20mm,1,62.0,10.0
2023-12-26,HB: IMR 20mm,1,62.0,10.0
2023-12-24,deadlift,4,135.0,115.517
2023-12-24,deadlift,4,135.0,116.535
2023-12-24,deadlift,4,135.0,25.359
2023-12-23,HB: IMR 20mm,1,62.0,10.0
2023-12-23,HB: IMR 20mm,1,62.0,10.0
2023-12-23,HB: IMR 20mm,1,62.0,10.0
2023-12-23,HB: IMR 20mm,1,62.0,10.0
2023-12-23,HB: IMR 20mm,1,62.0,10.0
2023-12-23,HB: IMR 20mm,1,62.0,10.0
2023-12-23,HB: IMR 20mm,1,62.0,10.0
2023-12-23,HB: IMR 20mm,1,62.0,10.0
2023-12-21,HB: IMR 20mm,1,62.0,10.0
2023-12-21,HB: IMR 20mm,2,62.0,10.0
2023-12-21,HB: IMR 20mm,1,62.0,10.0
2023-12-21,HB: IMR 20mm,1,62.0,10.0
2023-12-21,HB: IMR 20mm,1,62.0,10.0
2023-12-21,HB: IMR 20mm,1,62.0,10.0
2023-12-21,HB: IMR 20mm,1,62.0,10.0
2023-12-21,HB: IMR 20mm,1,62.0,10.0
2023-12-20,HB: IMR 20mm,1,62.0,10.0
2023-12-20,HB: IMR 20mm,1,62.0,10.0
2023-12-20,HB: IMR 20mm,1,62.0,10.0
2023-12-20,HB: IMR 20mm,1,62.0,10.0
2023-12-20,HB: IMR 20mm,1,62.0,10.0
2023-12-20,HB: IMR 20mm,1,62.0,10.0
2023-12-20,HB: IMR 20mm,1,62.0,10.0
2023-12-20,HB: IMR 20mm,1,62.0,10.0
2023-12-19,HB: IMR 20mm,1,62.0,10.0
2023-12-19,HB: IMR 20mm,1,62.0,10.0
2023-12-19,HB: IMR 20mm,1,62.0,10.0
2023-12-19,HB: IMR 20mm,1,62.0,10.0
2023-12-19,HB: IMR 20mm,1,62.0,10.0
