date,name,grade,setter,mygrade,attempts,ticked,comment,grade_v,mygrade_v
2023-12-14,POPIFRESCO,6B+,JAVIERMENG,6B+,2,False,,4.0,4.0
2023-12-14,THE SENDTRAIN,6C,Ben Rankin,6C,2,True,,5.0,5.0
2023-12-14,BORNEO,7A,Stuart Ivory,6C+,1,True,,6.0,5.5
2023-12-14,BUTOLOGIA,6C,nicholas farenzena,6C,1,True,,5.0,5.0
2023-12-14,FINGER LICKIN EASY,6B+,Kyle Knapp,6C,1,True,,4.0,5.0
2023-12-12,¡APUNT****!,6B+,AJ Rimes,6B+,1,True,,4.0,4.0
2023-12-12,FINGER LICKIN EASY,6B+,Kyle Knapp,6C,3,False,,4.0,5.0
2023-12-12,FEET CUTTING VAR,7A,Bobby Shih,7A,3,False,,6.0,6.0
2023-12-12,BORNEO,7A,Stuart Ivory,6C+,6,True,,6.0,5.5
2023-12-12,DES GROS CUTLOOSE PAS RAP,6C,Jean-claude Savard,6C,1,False,,5.0,5.0
2023-12-07,TCA COMP 1,6B+,Ben Moon,6B+,1,True,,4.0,4.0
2023-12-07,AB1,6B+,adrien baudouin,6B+,1,True,,4.0,4.0
2023-12-07,RYAN TEST 1,6B+,Jen,6B+,1,True,,4.0,4.0
2023-12-07,DES GROS CUTLOOSE PAS RAP,6C,Jean-claude Savard,6C+,3,False,,5.0,5.5
2023-12-07,UH-HUH,7A,Alex Arroyo,6C+,3,False,,6.0,5.5
2023-12-07,B.O.B.,7A,Randall Baum,7A,3,False,,6.0,6.0
2023-12-05,CATCH'M,6B+,Melissa Clements,6B+,1,True,,4.0,4.0
2023-12-05,USE THOSE FEET,6B+,Eddie,6B+,2,True,,4.0,4.0
2023-12-05,AB3,6B+,adrien baudouin,6B+,1,True,,4.0,4.0
2023-12-05,REPEATER,6B+,Kyle Knapp,6B+,2,True,,4.0,4.0
2023-12-05,SALTEDBLOCKS 2,6C,Martin Blizi,6C+,2,True,,5.0,5.5
2023-12-05,DOUBLE CROSS,6C,Kyle Knapp,6C+,3,True,matched 8. crossed last move to make up the double..,5.0,5.5
2023-12-05,MAFFEI,6C,Riccardo Caprasecca,6C+,3,False,,5.0,5.5
2023-12-02,S.U.N,6B+,Hoseok Lee,6B+,1,True,,4.0,4.0
2023-12-02,SOPHIE'S QUESTIONS (V3),6B+,Chris Wall,6B+,1,True,,4.0,4.0
2023-12-02,MAN WALKS DOWN THE STREET,6B+,mattw,6B+,1,True,,4.0,4.0
2023-12-02,GRIFETE HANDS,6C,edu moya,6C,2,False,,5.0,5.0
2023-12-02,WAITING FOR HARDTIMES,6C,James Lucas,6C,3,False,,5.0,5.0
2023-12-02,SALTEDBLOCKS 2,6C,Martin Blizi,6C,2,False,,5.0,5.0
2023-12-02,MAFFEI,6C,Riccardo Caprasecca,6C+,2,False,,5.0,5.5
2023-12-02,ATAUALPA,6C,Ale Alekos,6B+,1,True,,5.0,4.0
2023-12-02,ATAUALPA,6C,Ale Alekos,6B+,1,True,,5.0,4.0
2023-12-02,FULL MOON PARTY,6C,Kyle Knapp,6C,1,True,,5.0,5.0
2023-12-02,FULL MOON PARTY,6C,Kyle Knapp,6C,1,True,,5.0,5.0
2023-11-30,OUCH,6B+,Eric Nguyen,6B+,1,True,,4.0,4.0
2023-11-30,EAT THY CAKE,6B+,Ravioli Biceps,6B+,2,True,fun,4.0,4.0
2023-11-30,AB5,6B+,adrien baudouin,6B+,1,True,,4.0,4.0
2023-11-30,BASTION,6C,Kilgour22,6C,2,True,,5.0,5.0
2023-11-30,DOUBLE CROSS,6C,Kyle Knapp,6C,2,False,,5.0,5.0
2023-11-30,MAFFEI,6C,Riccardo Caprasecca,6C+,2,False,,5.0,5.5
2023-11-28,WARMING UP,6B+,Chad Jensen,6B+,1,True,,4.0,4.0
2023-11-28,1K,6B+,Bryant Noble,6B+,1,True,,4.0,4.0
2023-11-28,GORILLA BEGINS(6A/V3),6B+,Jay Choi,6B+,1,True,,4.0,4.0
2023-11-28,LOW CARB VAR,6C,Ben Moon,6C,5,False,,5.0,5.0
2023-11-28,SALTEDBLOCKS 2,6C,Martin Blizi,6C,4,False,,5.0,5.0
2023-11-26,UP AND OVER,6B+,Alex Smurthwaite,6B+,1,True,,4.0,4.0
2023-11-26,FIRST STEP,6B+,Riccardo Caprasecca,6B+,1,True,,4.0,4.0
2023-11-26,1,6B+,Hugo Hoyer,6B+,1,True,,4.0,4.0
2023-11-26,SURESHOT,6C,Danny Hupp,6C,3,False,,5.0,5.0
2023-11-26,WAITING FOR HARDTIMES,6C,James Lucas,6C,2,False,,5.0,5.0
2023-11-23,EASY-PEASY LEMON SQUEEZY,6B+,Movement Crew,6B+,1,True,,4.0,4.0
2023-11-23,JUST ANOTHER DAY,6C,Reuben Mardan,6C,2,True,,5.0,5.0
2023-11-23,ARIGGARI,6C,KoalaClimbing,6C,3,True,matched,5.0,5.0
